threshold,tp,fp,tn,fn,tpr,fpr,precision,asr,split
0.6140390086,2947,35,3047,77,0.974537037,0.01135626217,0.9882629108,0.02546296296,val
0.6190390086,2947,35,3047,77,0.974537037,0.01135626217,0.9882629108,0.02546296296,val
0.6240390086,2947,35,3047,77,0.974537037,0.01135626217,0.9882629108,0.02546296296,val
0.6290390086,2947,35,3047,77,0.974537037,0.01135626217,0.9882629108,0.02546296296,val
0.6340390086,2945,34,3048,79,0.9738756614,0.01103179753,0.9885867741,0.02612433862,val
0.6390390086,2945,34,3048,79,0.9738756614,0.01103179753,0.9885867741,0.02612433862,val
0.6440390086,2944,34,3048,80,0.9735449735,0.01103179753,0.9885829416,0.02645502646,val
0.6490390086,2944,34,3048,80,0.9735449735,0.01103179753,0.9885829416,0.02645502646,val
0.6540390086,2942,34,3048,82,0.9728835979,0.01103179753,0.9885752688,0.02711640212,val
0.6590390086,2941,34,3048,83,0.9725529101,0.01103179753,0.9885714286,0.02744708995,val
0.6640390086,2941,34,3048,83,0.9725529101,0.01103179753,0.9885714286,0.02744708995,val
0.6690390086,2940,33,3049,84,0.9722222222,0.0107073329,0.9889001009,0.02777777778,val
0.6740390086,2939,33,3049,85,0.9718915344,0.0107073329,0.9888963661,0.02810846561,val
0.6790390086,2939,33,3049,85,0.9718915344,0.0107073329,0.9888963661,0.02810846561,val
0.6840390086,2938,33,3049,86,0.9715608466,0.0107073329,0.9888926287,0.02843915344,val
0.6890390086,2938,33,3049,86,0.9715608466,0.0107073329,0.9888926287,0.02843915344,val
0.6940390086,2937,31,3051,87,0.9712301587,0.01005840363,0.9895552561,0.02876984127,val
0.6990390086,2936,31,3051,88,0.9708994709,0.01005840363,0.9895517358,0.0291005291,val
0.7040390086,2935,31,3051,89,0.9705687831,0.01005840363,0.9895482131,0.02943121693,val
0.7090390086,2935,31,3051,89,0.9705687831,0.01005840363,0.9895482131,0.02943121693,val
0.7140390086,2935,30,3052,89,0.9705687831,0.009733939001,0.9898819562,0.02943121693,val
